PSTAT,STNGENAN,YEAR
AK,6335034,2016
AL,142863240,2016
AR,60445059,2016
AZ,108734631,2016
CA,197323837,2016
CO,54418480,2016
CT,36496560,2016
DC,76474,2016
DE,8731261,2016
FL,238226428,2016
GA,132902274,2016
HI,9948845,2016
IA,54396531,2016
ID,15660938,2016
IL,187437381,2016
IN,101397209,2016
KS,47599990,2016
KY,80273501,2016
LA,106842115,2016
MA,31951671,2016
MD,37166747,2016
ME,11514427,2016
MI,112121790,2016
MN,60036476,2016
MO,78611513,2016
MS,62881295,2016
MT,27783530,2016
NC,130768153,2016
ND,37856452,2016
NE,37197843,2016
NH,19282493,2016
NJ,77598197,2016
NM,32922552,2016
NV,39228694,2016
NY,134090833,2016
OH,118922078,2016
OK,78655008,2016
OR,60181812,2016
PA,215066508,2016
RI,6564885,2016
SC,96985764,2016
SD,10289416,2016
TN,79340633,2016
TX,453941342,2016
UT,38133928,2016
VA,92554816,2016
VT,1911207,2016
WA,114086583,2016
WI,64966611,2016
WV,75942968,2016
WY,46656630,2016
